number,pokemon_name,type_main,type_sub,height,weight,generation,bmi,description_main,description_sub,category,ability_main,ability_sub,weaknesses,hp,attack,defense,sp.atk,sp.def,speed,total,evolutions,evolution_type,hidden_ability,evolution_list_index
112,Rhydon,Ground,Rock,1.9,120.0,1.0,33.2,It begins walking on its hind legs after evolution. It can punch holes through boulders with its horn.,"Protected by an armor-like hide, it is capable of living in molten lava of 3,600 degrees Fahrenheit.",Drill,Rock Head,Lightning Rod,"['Steel', 'Ice', 'Fighting', 'Ground']",105.0,130.0,120.0,45.0,45.0,40.0,485.0,"['Rhyhorn', 'Rhydon', 'Rhyperior']",3 stages evolution,Reckless,"['111', '112', '464']"
113,Chansey,Normal,,1.1,34.6,1.0,28.6,The egg Chansey carries is not only delicious but also packed with nutrition. It’s used as a high-class cooking ingredient.,"This species was once very slow. To protect their eggs from other creatures, these Pokémon became able to flee quickly.",Egg,Natural Cure,Serene Grace,['Fighting'],250.0,5.0,5.0,35.0,105.0,50.0,450.0,"['Happiny', 'Chansey', 'Blissey']",3 stages evolution,Healer,"['440', '113', '242']"
114,Tangela,Grass,,1.0,35.0,1.0,35.0,"Hidden beneath a tangle of vines that grows nonstop even if the vines are torn off, this Pokémon’s true appearance remains a mystery.","The vines of a Tangela have a distinct scent. In some parts of Galar, Tangela vines are used as herbs.",Vine,Chlorophyll,Leaf Guard,"['Fire', 'Flying', 'Ice', 'Poison', 'Bug']",65.0,55.0,115.0,100.0,40.0,60.0,435.0,"['Tangela', 'Tangrowth']",2 stages evolution,Regenerator,"['114', '465']"
115,Kangaskhan,Normal,,2.2,80.0,1.0,16.5,"Although it’s carrying its baby in a pouch on its belly, Kangaskhan is swift on its feet. It intimidates its opponents with quick jabs.",There are records of a lost human child being raised by a childless Kangaskhan.,Parent,Early Bird,Scrappy,['Fighting'],105.0,95.0,80.0,40.0,80.0,90.0,490.0,,No evolution,Inner Focus,
116,Horsea,Water,,0.4,8.0,1.0,50.0,"Horsea makes its home in oceans with gentle currents. If this Pokémon is under attack, it spits out pitch-black ink and escapes.",They swim with dance-like motions and cause whirlpools to form. Horsea compete to see which of them can generate the biggest whirlpool.,Dragon,Swift Swim,Sniper,"['Grass', 'Electric']",30.0,40.0,70.0,70.0,25.0,60.0,295.0,"['Horsea', 'Seadra', 'Kingdra']",3 stages evolution,Damp,"['116', '117', '230']"
117,Seadra,Water,,1.2,25.0,1.0,17.4,"It’s the males that raise the offspring. While Seadra are raising young, the spines on their backs secrete thicker and stronger poison.","Seadra’s mouth is slender, but its suction power is strong. In an instant, Seadra can suck in food that’s larger than the opening of its mouth.",Dragon,Poison Point,Sniper,"['Grass', 'Electric']",55.0,65.0,95.0,95.0,45.0,85.0,440.0,"['Horsea', 'Seadra', 'Kingdra']",3 stages evolution,Damp,"['116', '117', '230']"
118,Goldeen,Water,,0.6,15.0,1.0,41.7,"Its dorsal, pectoral, and tail fins wave elegantly in water. That is why it is known as the Water Dancer.",Its dorsal and pectoral fins are strongly developed like muscles. It can swim at a speed of five knots.,Goldfish,Swift Swim,Water Veil,"['Grass', 'Electric']",45.0,67.0,60.0,35.0,50.0,63.0,320.0,"['Goldeen', 'Seaking']",2 stages evolution,Lightning Rod,"['118', '119']"
119,Seaking,Water,,1.3,39.0,1.0,23.1,"In autumn, its body becomes more fatty in preparing to propose to a mate. It takes on beautiful colors.","Using its horn, it bores holes in riverbed boulders, making nests to prevent its eggs from washing away.",Goldfish,Swift Swim,Water Veil,"['Grass', 'Electric']",80.0,92.0,65.0,65.0,80.0,68.0,450.0,"['Goldeen', 'Seaking']",2 stages evolution,Lightning Rod,"['118', '119']"
120,Staryu,Water,,0.8,34.5,1.0,53.9,"If you visit a beach at the end of summer, you’ll be able to see groups of Staryu lighting up in a steady rhythm.","Fish Pokémon nibble at it, but Staryu isn’t bothered. Its body regenerates quickly, even if part of it is completely torn off.",Star Shape,Natural Cure,Illuminate,"['Grass', 'Electric']",30.0,45.0,55.0,70.0,55.0,85.0,340.0,"['Staryu', 'Starmie']",2 stages evolution,Analytic,"['120', '121']"
121,Starmie,Water,Psychic,1.1,80.0,1.0,66.1,This Pokémon has an organ known as its core. The organ glows in seven colors when Starmie is unleashing its potent psychic powers.,"Starmie swims by spinning its body at high speed. As this Pokémon cruises through the ocean, it absorbs tiny plankton.",Mysterious,Natural Cure,Illuminate,"['Ghost', 'Dark', 'Grass', 'Electric', 'Bug']",60.0,75.0,85.0,100.0,85.0,115.0,520.0,"['Staryu', 'Starmie']",2 stages evolution,Analytic,"['120', '121']"
123,Scyther,Bug,Flying,1.5,56.0,1.0,24.9,"As Scyther fights more and more battles, its scythes become sharper and sharper. With a single slice, Scyther can fell a massive tree.","If you come across an area in a forest where a lot of the trees have been cut down, what you’ve found is a Scyther’s territory.",Mantis,Swarm,Technician,"['Fire', 'Flying', 'Electric', 'Ice']",70.0,110.0,80.0,55.0,80.0,105.0,500.0,"['Scyther', 'Scizor']",2 stages evolution,Steadfast,"['123', '212']"
124,Jynx,Ice,Psychic,1.4,40.6,1.0,20.7,"In certain parts of Galar, Jynx was once feared and worshiped as the Queen of Ice.",The Jynx of Galar often have beautiful and delicate voices. Some of these Pokémon have even gathered a fan base.,Human Shape,Oblivious,Forewarn,"['Steel', 'Ghost', 'Fire', 'Dark', 'Rock', 'Bug']",65.0,50.0,35.0,115.0,95.0,95.0,455.0,"['Smoochum', 'Jynx']",2 stages evolution,Dry Skin,"['238', '124']"
125,Electabuzz,Electric,,1.1,30.0,1.0,24.8,Many power plants keep Ground-type Pokémon around as a defense against Electabuzz that come seeking electricity.,"With the coming of a storm, many of these Pokémon will gather under tall trees and sit there waiting for lightning to strike.",Electric,Static,,['Ground'],65.0,83.0,57.0,95.0,85.0,105.0,490.0,"['Elekid', 'Electabuzz', 'Electivire']",3 stages evolution,Vital Spirit,"['239', '125', '466']"
126,Magmar,Fire,,1.3,44.5,1.0,26.3,Magmar dispatches its prey with fire. But it regrets this habit once it realizes that it has burned its intended prey to a charred crisp.,These Pokémon’s bodies are constantly burning. Magmar are feared as one of the causes behind fires.,Spitfire,Flame Body,,"['Water', 'Ground', 'Rock']",65.0,95.0,57.0,100.0,85.0,93.0,495.0,"['Magby', 'Magmar', 'Magmortar']",3 stages evolution,Vital Spirit,"['240', '126', '467']"
127,Pinsir,Bug,,1.5,55.0,1.0,24.4,"These Pokémon judge one another based on pincers. Thicker, more impressive pincers make for more popularity with the opposite gender.",This Pokémon clamps its pincers down on its prey and then either splits the prey in half or flings it away.,Stag Beetle,Hyper Cutter,Mold Breaker,"['Fire', 'Flying', 'Rock']",65.0,125.0,100.0,55.0,70.0,85.0,500.0,,No evolution,Moxie,
128,Tauros,Normal,,1.4,88.4,1.0,45.1,"When Tauros begins whipping itself with its tails, it’s a warning that the Pokémon is about to charge with astounding speed.","The Tauros of the Galar region are volatile in nature, and they won’t allow people to ride on their backs.",Wild Bull,Intimidate,Anger Point,['Fighting'],75.0,100.0,95.0,40.0,70.0,110.0,490.0,,No evolution,Sheer Force,
129,Magikarp,Water,,0.9,10.0,1.0,12.3,It is virtually worthless in terms of both power and speed. It is the most weak and pathetic Pokémon in the world.,This weak and pathetic Pokémon gets easily pushed along rivers when there are strong currents.,Fish,Swift Swim,,"['Grass', 'Electric']",20.0,10.0,55.0,15.0,20.0,80.0,200.0,"['Magikarp', 'Gyarados']",2 stages evolution,Rattled,"['129', '130']"
130,Gyarados,Water,Flying,6.5,235.0,1.0,5.6,It has an extremely aggressive nature. The Hyper Beam it shoots from its mouth totally incinerates all targets.,"Once it begins to rampage, a Gyarados will burn everything down, even in a harsh storm.",Atrocious,Intimidate,,['Rock'],95.0,125.0,79.0,60.0,100.0,81.0,540.0,"['Magikarp', 'Gyarados']",2 stages evolution,Moxie,"['129', '130']"
131,Lapras,Water,Ice,2.5,220.0,1.0,35.2,"A smart and kindhearted Pokémon, it glides across the surface of the sea while its beautiful song echoes around it.",Crossing icy seas is no issue for this cold-resistant Pokémon. Its smooth skin is a little cool to the touch.,Transport,Water Absorb,Shell Armor,"['Grass', 'Electric', 'Fighting', 'Rock']",130.0,85.0,80.0,85.0,95.0,60.0,535.0,,No evolution,Hydration,
132,Ditto,Normal,,0.3,4.0,1.0,44.4,"It can reconstitute its entire cellular structure to change into what it sees, but it returns to normal when it relaxes.","When it encounters another Ditto, it will move faster than normal to duplicate that opponent exactly.",Transform,Limber,,['Fighting'],48.0,48.0,48.0,48.0,48.0,48.0,288.0,,No evolution,Imposter,
133,Eevee,Normal,,0.3,6.5,1.0,72.2,It has the ability to alter the composition of its body to suit its surrounding environment.,"Thanks to its unstable genetic makeup, this special Pokémon conceals many different possible evolutions.",Evolution,Run Away,Adaptability,['Fighting'],55.0,55.0,50.0,45.0,65.0,55.0,325.0,"['Eevee', ['Vaporeon', 'Jolteon', 'Flareon', 'Espeon', 'Umbreon', 'Leafeon', 'Glaceon', 'Sylveon']]",2 stages evolution with 8 forms,Anticipation,"['133', ['134', '135', '136', '196', '197', '470', '471', '700']]"
134,Vaporeon,Water,,1.0,29.0,1.0,29.0,"When Vaporeon’s fins begin to vibrate, it is a sign that rain will come within a few hours.",Its body’s cellular structure is similar to the molecular composition of water. It can melt invisibly in water.,Bubble Jet,Water Absorb,,"['Grass', 'Electric']",130.0,65.0,60.0,110.0,95.0,65.0,525.0,"['Eevee', ['Vaporeon', 'Jolteon', 'Flareon', 'Espeon', 'Umbreon', 'Leafeon', 'Glaceon', 'Sylveon']]",2 stages evolution with 8 forms,Hydration,"['133', ['134', '135', '136', '196', '197', '470', '471', '700']]"
135,Jolteon,Electric,,0.8,24.5,1.0,38.3,"If it is angered or startled, the fur all over its body bristles like sharp needles that pierce foes.","It accumulates negative ions in the atmosphere to blast out 10,000-volt lightning bolts.",Lightning,Volt Absorb,,['Ground'],65.0,65.0,60.0,110.0,95.0,130.0,525.0,"['Eevee', ['Vaporeon', 'Jolteon', 'Flareon', 'Espeon', 'Umbreon', 'Leafeon', 'Glaceon', 'Sylveon']]",2 stages evolution with 8 forms,Quick Feet,"['133', ['134', '135', '136', '196', '197', '470', '471', '700']]"
136,Flareon,Fire,,0.9,25.0,1.0,30.9,"Once it has stored up enough heat, this Pokémon’s body temperature can reach up to 1,700 degrees Fahrenheit.","It stores some of the air it inhales in its internal flame pouch, which heats it to over 3,000 degrees Fahrenheit.",Flame,Flash Fire,,"['Water', 'Ground', 'Rock']",65.0,130.0,60.0,95.0,110.0,65.0,525.0,"['Eevee', ['Vaporeon', 'Jolteon', 'Flareon', 'Espeon', 'Umbreon', 'Leafeon', 'Glaceon', 'Sylveon']]",2 stages evolution with 8 forms,Guts,"['133', ['134', '135', '136', '196', '197', '470', '471', '700']]"
137,Porygon,Normal,,0.8,36.5,1.0,57.0,State-of-the-art technology was used to create Porygon. It was the first artificial Pokémon to be created via computer programming.,"In recent years, this species has been very helpful in cyberspace. These Pokémon will go around checking to make sure no suspicious data exists.",Virtual,Trace,Download,['Fighting'],65.0,60.0,70.0,85.0,75.0,40.0,395.0,"['Porygon', 'Porygon2', 'Porygon-Z']",3 stages evolution,Analytic,"['137', '233', '474']"
138,Omanyte,Rock,Water,0.4,7.5,1.0,46.9,"Because some Omanyte manage to escape after being restored or are released into the wild by people, this species is becoming a problem.","This Pokémon is a member of an ancient, extinct species. Omanyte paddles through water with its 10 tentacles, looking like it’s just drifting along.",Spiral,Shell Armor,Swift Swim,"['Electric', 'Fighting', 'Ground']",35.0,40.0,100.0,90.0,55.0,35.0,355.0,"['Omanyte', 'Omastar']",2 stages evolution,Weak Armor,"['138', '139']"
139,Omastar,Rock,Water,1.0,35.0,1.0,35.0,"Weighed down by a large and heavy shell, Omastar couldn’t move very fast. Some say it went extinct because it was unable to catch food.","Omastar’s sharp fangs could crush rock, but the Pokémon can attack only the prey that come within reach of its tentacles.",Spiral,Shell Armor,Swift Swim,"['Electric', 'Fighting', 'Ground']",70.0,60.0,125.0,115.0,70.0,55.0,495.0,"['Omanyte', 'Omastar']",2 stages evolution,Weak Armor,"['138', '139']"
140,Kabuto,Rock,Water,0.5,11.5,1.0,46.0,"This species is almost entirely extinct. Kabuto molt every three days, making their shells harder and harder.","While some say this species has gone extinct, Kabuto sightings are apparently fairly common in some places.",Shellfish,Swift Swim,Battle Armor,"['Electric', 'Fighting', 'Ground']",30.0,80.0,90.0,55.0,45.0,55.0,355.0,"['Kabuto', 'Kabutops']",2 stages evolution,Weak Armor,"['140', '141']"
141,Kabutops,Rock,Water,1.3,40.5,1.0,24.0,Kabutops slices its prey apart and sucks out the fluids. The discarded body parts become food for other Pokémon.,The cause behind the extinction of this species is unknown. Kabutops were aggressive Pokémon that inhabited warm seas.,Shellfish,Swift Swim,Battle Armor,"['Electric', 'Fighting', 'Ground']",60.0,115.0,105.0,65.0,70.0,80.0,495.0,"['Kabuto', 'Kabutops']",2 stages evolution,Weak Armor,"['140', '141']"
142,Aerodactyl,Rock,Flying,1.8,59.0,1.0,18.2,This is a ferocious Pokémon from ancient times. Apparently even modern technology is incapable of producing a perfectly restored specimen.,Aerodactyl’s sawlike fangs can shred skin to tatters—even the skin of Steel-type Pokémon.,Fossil,Rock Head,Pressure,"['Steel', 'Water', 'Electric', 'Ice', 'Rock']",80.0,105.0,65.0,60.0,75.0,130.0,515.0,,No evolution,Unnerve,
143,Snorlax,Normal,,2.1,460.0,1.0,104.3,"It is not satisfied unless it eats over 880 pounds of food every day. When it is done eating, it goes promptly to sleep.","This Pokémon’s stomach is so strong, even eating moldy or rotten food will not affect it.",Sleeping,Thick Fat,Immunity,['Fighting'],160.0,110.0,65.0,65.0,110.0,30.0,540.0,"['Munchlax', 'Snorlax']",2 stages evolution,Gluttony,"['446', '143']"
144,Articuno,Ice,Flying,1.7,55.4,1.0,19.2,"It’s said that this Pokémon’s beautiful blue wings are made of ice. Articuno flies over snowy mountains, its long tail fluttering along behind it.",This Pokémon can control ice at will. Articuno is said to live in snowy mountains riddled with permafrost.,Freeze,Pressure,,"['Steel', 'Fire', 'Electric']",90.0,85.0,100.0,95.0,125.0,85.0,580.0,,No evolution,Snow Cloak,
145,Zapdos,Electric,Flying,1.6,52.6,1.0,20.5,This Pokémon has complete control over electricity. There are tales of Zapdos nesting in the dark depths of pitch-black thunderclouds.,"Zapdos is a legendary bird Pokémon. It’s said that when Zapdos rubs its feathers together, lightning will fall immediately after.",Electric,Pressure,,"['Ice', 'Rock']",90.0,90.0,85.0,125.0,90.0,100.0,580.0,,No evolution,Static,
146,Moltres,Fire,Flying,2.0,60.0,1.0,15.0,"It’s one of the legendary bird Pokémon. When Moltres flaps its flaming wings, they glimmer with a dazzling red glow.","There are stories of this Pokémon using its radiant, flame-cloaked wings to light up paths for those lost in the mountains.",Flame,Pressure,,"['Water', 'Electric']",90.0,100.0,90.0,125.0,85.0,90.0,580.0,,No evolution,Flame Body,
147,Dratini,Dragon,,1.8,3.3,1.0,1.0,"Dratini dwells near bodies of rapidly flowing water, such as the plunge pools of waterfalls. As it grows, Dratini will shed its skin many times.",This Pokémon was long considered to be no more than a myth. The small lump on a Dratini’s forehead is actually a horn that’s still coming in.,Dragon,Shed Skin,,"['Fairy', 'Ice', 'Dragon']",41.0,64.0,45.0,50.0,50.0,50.0,300.0,"['Dratini', 'Dragonair', 'Dragonite']",3 stages evolution,Marvel Scale,"['147', '148', '149']"
148,Dragonair,Dragon,,4.0,16.5,1.0,1.0,"This Pokémon lives in pristine oceans and lakes. It can control the weather, and it uses this power to fly into the sky, riding on the wind.","This Pokémon gathers power in the orbs on its tail and controls the weather. When enshrouded by an aura, Dragonair has a mystical appearance.",Dragon,Shed Skin,,"['Fairy', 'Ice', 'Dragon']",61.0,84.0,65.0,70.0,70.0,70.0,420.0,"['Dratini', 'Dragonair', 'Dragonite']",3 stages evolution,Marvel Scale,"['147', '148', '149']"
149,Dragonite,Dragon,Flying,2.2,210.0,1.0,43.4,"It’s a kindhearted Pokémon. If it spots a drowning person or Pokémon, Dragonite simply must help them.",This Pokémon is known as the Sea Incarnate. Figureheads that resemble Dragonite decorate the bows of many ships.,Dragon,Inner Focus,,"['Fairy', 'Dragon', 'Rock']",91.0,134.0,95.0,100.0,100.0,80.0,600.0,"['Dratini', 'Dragonair', 'Dragonite']",3 stages evolution,Multiscale,"['147', '148', '149']"
150,Mewtwo,Psychic,,2.0,122.0,1.0,30.5,"Its DNA is almost the same as Mew’s. However, its size and disposition are vastly different.","Its DNA is almost the same as Mew’s. However, its size and disposition are vastly different.",Genetic,Pressure,,"['Ghost', 'Dark', 'Bug']",106.0,110.0,90.0,154.0,90.0,130.0,680.0,,No evolution,Unnerve,
151,Mew,Psychic,,0.4,4.0,1.0,25.0,"When viewed through a microscope, this Pokémon’s short, fine, delicate hair can be seen.","When viewed through a microscope, this Pokémon’s short, fine, delicate hair can be seen.",New Species,Synchronize,,"['Ghost', 'Dark', 'Bug']",100.0,100.0,100.0,100.0,100.0,100.0,600.0,,No evolution,,
152,Chikorita,Grass,,0.9,6.4,2.0,7.9,"In battle, Chikorita waves its leaf around to keep the foe at bay. However, a sweet fragrance also wafts from the leaf, becalming the battling Pokémon and creating a cozy, friendly atmosphere all around.","In battle, Chikorita waves its leaf around to keep the foe at bay. However, a sweet fragrance also wafts from the leaf, becalming the battling Pokémon and creating a cozy, friendly atmosphere all around.",Leaf,Overgrow,,"['Fire', 'Flying', 'Ice', 'Poison', 'Bug']",45.0,49.0,65.0,49.0,65.0,45.0,318.0,"['Chikorita', 'Bayleef', 'Meganium']",3 stages evolution,Leaf Guard,"['152', '153', '154']"
153,Bayleef,Grass,,1.2,15.8,2.0,11.0,Bayleef’s neck is ringed by curled-up leaves. Inside each tubular leaf is a small shoot of a tree. The fragrance of this shoot makes people peppy.,Bayleef’s neck is ringed by curled-up leaves. Inside each tubular leaf is a small shoot of a tree. The fragrance of this shoot makes people peppy.,Leaf,Overgrow,,"['Fire', 'Flying', 'Ice', 'Poison', 'Bug']",60.0,62.0,80.0,63.0,80.0,60.0,405.0,"['Chikorita', 'Bayleef', 'Meganium']",3 stages evolution,Leaf Guard,"['152', '153', '154']"
154,Meganium,Grass,,1.8,100.5,2.0,31.0,"The fragrance of Meganium’s flower soothes and calms emotions. In battle, this Pokémon gives off more of its becalming scent to blunt the foe’s fighting spirit.","The fragrance of Meganium’s flower soothes and calms emotions. In battle, this Pokémon gives off more of its becalming scent to blunt the foe’s fighting spirit.",Herb,Overgrow,,"['Fire', 'Flying', 'Ice', 'Poison', 'Bug']",80.0,82.0,100.0,83.0,100.0,80.0,525.0,"['Chikorita', 'Bayleef', 'Meganium']",3 stages evolution,Leaf Guard,"['152', '153', '154']"
155,Cyndaquil,Fire,,0.5,7.9,2.0,31.6,"Cyndaquil protects itself by flaring up the flames on its back. The flames are vigorous if the Pokémon is angry. However, if it is tired, the flames splutter fitfully with incomplete combustion.","Cyndaquil protects itself by flaring up the flames on its back. The flames are vigorous if the Pokémon is angry. However, if it is tired, the flames splutter fitfully with incomplete combustion.",Fire Mouse,Blaze,,"['Water', 'Ground', 'Rock']",39.0,52.0,43.0,60.0,50.0,65.0,309.0,"['Cyndaquil', 'Quilava', 'Typhlosion']",3 stages evolution,Flash Fire,"['155', '156', '157']"
156,Quilava,Fire,,0.9,19.0,2.0,23.5,Quilava keeps its foes at bay with the intensity of its flames and gusts of superheated air. This Pokémon applies its outstanding nimbleness to dodge attacks even while scorching the foe with flames.,Quilava keeps its foes at bay with the intensity of its flames and gusts of superheated air. This Pokémon applies its outstanding nimbleness to dodge attacks even while scorching the foe with flames.,Volcano,Blaze,,"['Water', 'Ground', 'Rock']",58.0,64.0,58.0,80.0,65.0,80.0,405.0,"['Cyndaquil', 'Quilava', 'Typhlosion']",3 stages evolution,Flash Fire,"['155', '156', '157']"
157,Typhlosion,Fire,,1.7,79.5,2.0,27.5,Typhlosion obscures itself behind a shimmering heat haze that it creates using its intensely hot flames. This Pokémon creates blazing explosive blasts that burn everything to cinders.,Typhlosion obscures itself behind a shimmering heat haze that it creates using its intensely hot flames. This Pokémon creates blazing explosive blasts that burn everything to cinders.,Volcano,Blaze,,"['Water', 'Ground', 'Rock']",78.0,84.0,78.0,109.0,85.0,100.0,534.0,"['Cyndaquil', 'Quilava', 'Typhlosion']",3 stages evolution,Flash Fire,"['155', '156', '157']"
158,Totodile,Water,,0.6,9.5,2.0,26.4,"Despite the smallness of its body, Totodile’s jaws are very powerful. While the Pokémon may think it is just playfully nipping, its bite has enough power to cause serious injury.","Despite the smallness of its body, Totodile’s jaws are very powerful. While the Pokémon may think it is just playfully nipping, its bite has enough power to cause serious injury.",Big Jaw,Torrent,,"['Grass', 'Electric']",50.0,65.0,64.0,44.0,48.0,43.0,314.0,"['Totodile', 'Croconaw', 'Feraligatr']",3 stages evolution,Sheer Force,"['158', '159', '160']"
159,Croconaw,Water,,1.1,25.0,2.0,20.7,"Once Croconaw has clamped its jaws on its foe, it will absolutely not let go. Because the tips of its fangs are forked back like barbed fishhooks, they become impossible to remove when they have sunk in.","Once Croconaw has clamped its jaws on its foe, it will absolutely not let go. Because the tips of its fangs are forked back like barbed fishhooks, they become impossible to remove when they have sunk in.",Big Jaw,Torrent,,"['Grass', 'Electric']",65.0,80.0,80.0,59.0,63.0,58.0,405.0,"['Totodile', 'Croconaw', 'Feraligatr']",3 stages evolution,Sheer Force,"['158', '159', '160']"
160,Feraligatr,Water,,2.3,88.8,2.0,16.8,"Feraligatr intimidates its foes by opening its huge mouth. In battle, it will kick the ground hard with its thick and powerful hind legs to charge at the foe at an incredible speed.","Feraligatr intimidates its foes by opening its huge mouth. In battle, it will kick the ground hard with its thick and powerful hind legs to charge at the foe at an incredible speed.",Big Jaw,Torrent,,"['Grass', 'Electric']",85.0,105.0,100.0,79.0,83.0,78.0,530.0,"['Totodile', 'Croconaw', 'Feraligatr']",3 stages evolution,Sheer Force,"['158', '159', '160']"
161,Sentret,Normal,,0.8,6.0,2.0,9.4,"When Sentret sleeps, it does so while another stands guard. The sentry wakes the others at the first sign of danger. When this Pokémon becomes separated from its pack, it becomes incapable of sleep due to fear.","When Sentret sleeps, it does so while another stands guard. The sentry wakes the others at the first sign of danger. When this Pokémon becomes separated from its pack, it becomes incapable of sleep due to fear.",Scout,Keen Eye,Run Away,['Fighting'],35.0,46.0,34.0,35.0,45.0,20.0,215.0,"['Sentret', 'Furret']",2 stages evolution,Frisk,"['161', '162']"
162,Furret,Normal,,1.8,32.5,2.0,10.0,"Furret has a very slim build. When under attack, it can slickly squirm through narrow spaces and get away. In spite of its short limbs, this Pokémon is very nimble and fleet.","Furret has a very slim build. When under attack, it can slickly squirm through narrow spaces and get away. In spite of its short limbs, this Pokémon is very nimble and fleet.",Long Body,Keen Eye,Run Away,['Fighting'],85.0,76.0,64.0,45.0,55.0,90.0,415.0,"['Sentret', 'Furret']",2 stages evolution,Frisk,"['161', '162']"
163,Hoothoot,Normal,Flying,0.7,21.2,2.0,43.3,"It always stands on one foot. It changes feet so fast, the movement can rarely be seen.",It begins to hoot at the same time every day. Some Trainers use them in place of clocks.,Owl,Keen Eye,Insomnia,"['Electric', 'Ice', 'Rock']",60.0,30.0,30.0,36.0,56.0,50.0,262.0,"['Hoothoot', 'Noctowl']",2 stages evolution,Tinted Lens,"['163', '164']"
164,Noctowl,Normal,Flying,1.6,40.8,2.0,15.9,Its eyes are specially developed to enable it to see clearly even in murky darkness and minimal light.,"When it needs to think, it rotates its head 180 degrees to sharpen its intellectual power.",Owl,Keen Eye,Insomnia,"['Electric', 'Ice', 'Rock']",100.0,50.0,50.0,86.0,96.0,70.0,452.0,"['Hoothoot', 'Noctowl']",2 stages evolution,Tinted Lens,"['163', '164']"
165,Ledyba,Bug,Flying,1.0,10.8,2.0,10.8,"This Pokémon is very sensitive to cold. In the warmth of Alola, it appears quite lively.",These very cowardly Pokémon join together and use Reflect to protect their nest.,Five Star,Swarm,Early Bird,"['Fire', 'Flying', 'Electric', 'Ice']",40.0,20.0,30.0,40.0,80.0,55.0,265.0,"['Ledyba', 'Ledian']",2 stages evolution,Rattled,"['165', '166']"
166,Ledian,Bug,Flying,1.4,35.6,2.0,18.2,"It’s said that the patterns on its back are related to the stars in the night sky, but the details of that relationship remain unclear.","It flies through the night sky, sprinkling sparkly dust. According to some, if that dust sticks to you, good things will happen to you.",Five Star,Swarm,Early Bird,"['Fire', 'Flying', 'Electric', 'Ice']",55.0,35.0,50.0,55.0,110.0,85.0,390.0,"['Ledyba', 'Ledian']",2 stages evolution,Iron Fist,"['165', '166']"
167,Spinarak,Bug,Poison,0.5,8.5,2.0,34.0,"With threads from its mouth, it fashions sturdy webs that won’t break even if you set a rock on them.","Although the poison from its fangs isn’t that strong, it’s potent enough to weaken prey that gets caught in its web.",String Spit,Swarm,Insomnia,"['Fire', 'Psychic', 'Flying', 'Rock']",40.0,60.0,40.0,40.0,40.0,30.0,250.0,"['Spinarak', 'Ariados']",2 stages evolution,Sniper,"['167', '168']"
168,Ariados,Bug,Poison,1.1,33.5,2.0,27.7,"Every night, it wanders around in search of prey, whose movements it restrains by spewing threads before it bites into them with its fangs.","It spews threads from its mouth to catch its prey. When night falls, it leaves its web to go hunt aggressively.",Long Leg,Swarm,Insomnia,"['Fire', 'Psychic', 'Flying', 'Rock']",70.0,90.0,70.0,60.0,70.0,40.0,400.0,"['Spinarak', 'Ariados']",2 stages evolution,Sniper,"['167', '168']"
169,Crobat,Poison,Flying,1.8,75.0,2.0,23.1,"Both of its legs have turned into wings. Without a sound, Crobat flies swiftly toward its prey and sinks its fangs into the nape of its target’s neck.",This Pokémon flaps its four wings skillfully. Crobat can fly through cramped caves without needing to slow down.,Bat,Inner Focus,,"['Psychic', 'Electric', 'Ice', 'Rock']",85.0,90.0,80.0,70.0,80.0,130.0,535.0,"['Zubat', 'Golbat', 'Crobat']",3 stages evolution,Infiltrator,"['041', '042', '169']"
170,Chinchou,Water,Electric,0.5,12.0,2.0,48.0,"Its antennae, which evolved from a fin, have both positive and negative charges flowing through them.","On the dark ocean floor, its only means of communication is its constantly flashing lights.",Angler,Illuminate,Volt Absorb,"['Grass', 'Ground']",75.0,38.0,38.0,56.0,56.0,67.0,330.0,"['Chinchou', 'Lanturn']",2 stages evolution,Water Absorb,"['170', '171']"
171,Lanturn,Water,Electric,1.2,22.5,2.0,15.6,The light it emits is so bright that it can illuminate the sea’s surface from a depth of over three miles.,This Pokémon flashes a bright light that blinds its prey. This creates an opening for it to deliver an electrical attack.,Light,Illuminate,Volt Absorb,"['Grass', 'Ground']",125.0,58.0,58.0,76.0,76.0,67.0,460.0,"['Chinchou', 'Lanturn']",2 stages evolution,Water Absorb,"['170', '171']"
172,Pichu,Electric,,0.3,2.0,2.0,22.2,"Despite its small size, it can zap even adult humans. However, if it does so, it also surprises itself.","The electric sacs in its cheeks are small. If even a little electricity leaks, it becomes shocked.",Tiny Mouse,Static,,['Ground'],20.0,40.0,15.0,35.0,35.0,60.0,205.0,"['Pichu', 'Pikachu', 'Raichu']",3 stages evolution,Lightning Rod,"['172', '025', '026']"
173,Cleffa,Fairy,,0.3,3.0,2.0,33.3,"According to local rumors, Cleffa are often seen in places where shooting stars have fallen.","Because of its unusual, starlike silhouette, people believe that it came here on a meteor.",Star Shape,Cute Charm,Magic Guard,"['Steel', 'Poison']",50.0,25.0,28.0,45.0,55.0,15.0,218.0,"['Cleffa', 'Clefairy', 'Clefable']",3 stages evolution,Friend Guard,"['173', '035', '036']"
